tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"Transfer is ready to go, and we have a playlist of new releases to get you started → https://t.co/dpcHn1VFmo https://t.co/lYYL4nsEVH",2020-08-04 23:39:12+08:00,18,168,[],no_media,[],True,True
We know that moving can be hard. That’s why you can now transfer your @GooglePlayMusic library to #YouTubeMusic in… https://t.co/quwG3Nh9XN,2020-08-04 23:15:52+08:00,79,427,['YouTubeMusic'],no_media,['GooglePlayMusic'],True,False
"Show some love for @RRReol, our new Japan #ArtistOnTheRise 🇯🇵 ! Subscribe to her channel, and watch her music video… https://t.co/htRVi8RyQY",2020-08-04 09:00:00+08:00,270,1260,['ArtistOnTheRise'],no_media,['RRReol'],True,False
@DanAndShay @DaBabyDaBaby @AvaMax @4everBrandy @queennaija 🤟💛,2020-08-04 05:01:52+08:00,0,1,[],no_media,['DanAndShay'],False,False
"New Music Videos you need in your queue right now 🔥 Featuring:

✔️@DanAndShay
✔️@DaBabyDaBaby
✔️@AvaMax
✔️… https://t.co/J6DJhk4XIS",2020-08-04 04:16:24+08:00,40,196,[],no_media,['DanAndShay'],True,False
"Our app integrations just got a major boost! Now you can use #YouTubeMusic with more of your favorite devices:

✅… https://t.co/bj6sBccvhB",2020-08-04 00:03:25+08:00,43,507,['YouTubeMusic'],no_media,[],True,False
🔴 [LIVE]: @Kaskade is going LIVE from a secret location in Los Angeles for the very last performance of #Lolla2020.… https://t.co/Xxe7NdCZrf,2020-08-03 12:50:00+08:00,4,35,['Lolla2020'],no_media,['kaskade'],True,False
".@ArcadeFire &amp; @Lollapalooza: name a better duo. We’ll wait. 

Watch their iconic 2010 Lolla set, and join as we ce… https://t.co/LnWYKHmSrs",2020-08-03 10:35:00+08:00,7,54,[],no_media,['arcadefire'],True,False
The answer to seeing the @YYYS at #Lolla2020 is ALWAYS oh yeah. Bring it back to ‘09 and reminisce over one of the… https://t.co/NK1nX1Y2xR,2020-08-03 06:00:00+08:00,7,47,['Lolla2020'],no_media,['YYYs'],True,False
RT @snakehipsuk: Shouts to @youtubemusic puttin lie for you on tha billboard 🔥🔥🔥 https://t.co/lExw6WExAY,2020-08-03 05:55:10+08:00,73,0,[],photo,['snakehipsuk'],False,False
"@DUALIPA do it, do it 🙌",2020-08-03 05:54:53+08:00,1,20,[],no_media,['DUALIPA'],False,False
@DanAndShay @dansmyers @ShayMooney ❤️,2020-08-03 05:53:31+08:00,0,1,[],no_media,['DanAndShay'],False,False
"Festival blues are hitting us hard! On Day 4 of #Lolla2020, meet us in the virtual pit for special performances fro… https://t.co/563VWU6ahB",2020-08-03 05:51:42+08:00,6,31,['Lolla2020'],no_media,[],True,False
Day 3 of #Lolla2020 is taking us back to some of the best festival memories. Tune in now to catch @Outkast’s unforg… https://t.co/9Efu29suze,2020-08-02 10:25:00+08:00,5,47,['Lolla2020'],no_media,['Outkast'],True,False
What’s in store for #Lolla2020 Day 3? Incredible performances from #Lollapalooza both past and present including… https://t.co/hGEHEZDOZB,2020-08-02 05:50:00+08:00,7,39,['Lolla2020'],no_media,[],True,False
🔴 [LIVE] The UK's @PrideTVNetwork brings their legendary Brighton Pride festival to YouTube 🙌 Tune in all weekend l… https://t.co/j5ugSDv2Qm,2020-08-02 00:00:01+08:00,2,29,[],no_media,['PrideTVnetwork'],True,False
