tweet_content,created_at,retweet_count,favorite_count
"Watch CAR CRASH on @YouTube now.

@kennybeats @partisanrecords @youtubemusic 

https://t.co/PznoqmTjpI",2021-11-04 04:52:20+08:00,39,263
"Si empezaste tu mañana pensando en tu rayito de luz que te tiene completamente enamorado, de seguro no querrás deja… https://t.co/Xr65N59YTm",2021-11-03 21:45:28+08:00,18,45
"The whole of South India is grooving to #SaamiSaami Song 🎧🕺💃

All 4 Languages Trending on @youtubemusic 🤘

▶️… https://t.co/8d7JSc3cj5",2021-10-30 15:40:12+08:00,1720,4855
Get creating for a chance to win signed artwork from Ed. Make sure to tag your @youtube Shorts with #SheeranShorts… https://t.co/KNWdevqk95,2021-11-03 02:34:54+08:00,170,2389
"Come see we in Atlanta, USA 🙏🏾 we are Thankful. Ache for you video is out now.

Watch it from 
Here :… https://t.co/3FCTV83n9w",2021-10-30 14:57:19+08:00,251,1383
"#FlashbackFriday ROMPE  (remix), Daddy Yankee /Lloyd Banks &amp; Busta Rhymes https://t.co/kCBcgXRoz0 via @YouTubemusic",2021-10-29 22:11:11+08:00,146,2622
Thank you for the love @youtubemusic ❤️❤️ @iambeckyg @NathyPeluso @naikinai19 @YouTube https://t.co/lJueVdOm9q https://t.co/inDFPMk2gh,2021-10-29 02:18:44+08:00,608,4100
"+ALPHA+ Out Now on @YouTubeMusic! 
Listen: https://t.co/syafz5KCQT https://t.co/D524bu5rcb",2021-10-29 06:18:36+08:00,653,3561
YouTube Music Too!! Album - Banjo Kazooie: Re-Jiggyed https://t.co/dAfrzBtOMO via @YouTubeMusic,2021-10-29 02:43:50+08:00,178,715
"The #GhaniAnthem gets a 𝗥𝗘𝗦𝗢𝗨𝗡𝗗𝗜𝗡𝗚 response, Trending on @youtubemusic 🥊🔥

A @MusicThaman Musical 🎹
▶️… https://t.co/0AfliE8uw0",2021-10-28 17:17:26+08:00,106,1005
"#GhaniAnthem 𝗧𝗥𝗘𝗡𝗗𝗜𝗡𝗚 on @youtubemusic with 𝟮 𝗠𝗶𝗹𝗹𝗶𝗼𝗻+ real-time views 🥊🔥

▶️ https://t.co/l1COrlqig5 🎧 

🎹:… https://t.co/SBsYgraqO6",2021-10-28 16:16:53+08:00,17,144
"#GhaniAnthem 𝗧𝗥𝗘𝗡𝗗𝗜𝗡𝗚 on @youtubemusic with 𝟮 𝗠𝗶𝗹𝗹𝗶𝗼𝗻+ real-time views 🥊🔥

▶️ https://t.co/tSzQqmIjjY 🎧 

#Ghani… https://t.co/dzeOKWjWqI",2021-10-28 13:21:37+08:00,59,499
❤️❤️❤️ @youtubemusic https://t.co/vMo2MEsDYu,2021-10-28 05:46:15+08:00,562,3766
"Looking good in LA, @youtubemusic 

#thelockdownsessions https://t.co/JgfwiFHoqG",2021-10-27 21:19:28+08:00,50,489
SS.M.S.05: @youtubemusic ADDED “DEVOLUTION” TO THE MAXIMUM DECIBELS PLAYLIST. EXPERIENCE IT HERE:… https://t.co/xeXUY6Hh1o,2021-10-27 21:00:04+08:00,54,536
