tweet_content,created_at,retweet_count,favorite_count
"Next time you’re listening to music on @youtubemusic, check out the #backstory EP! https://t.co/DqsYXktrVo https://t.co/Clm3JuwOyO",2021-10-10 05:15:43+08:00,6,22
"¡No olvides disfrutar #CuántasVeces de @_CarlosRivera
y @ReikMx en @YouTubeMusic! 😍

https://t.co/TPbLpmn7G2 https://t.co/vvY0XqEJz5",2021-10-02 08:29:00+08:00,104,377
"6️⃣ Million+ Views &amp; Counting for the #Leharaayi Lyrical!🤩

Trending #4 on @youtubemusic Charts 🎧
ICYMI ▶️… https://t.co/mGS4V12AZp",2021-10-01 23:15:46+08:00,99,713
"Baila que yo te sigo a donde vayas #AlgoEsMejor 💖 @youtubemusic 

https://t.co/magUWSnSCm https://t.co/6wa8MosSzH",2021-10-02 05:10:30+08:00,40,291
ICYMI my performance of #TrueColors with @JonBatiste from @GlblCtzn is now up on my @youtubemusic channel. Click he… https://t.co/3Ngc1NmTk4,2021-10-02 07:13:36+08:00,42,239
Daddy Yankee - Lo Mejor De / The Best Of https://t.co/OgoDye6kJr via @YouTubemusic,2021-10-01 21:32:56+08:00,62,630
drag in time’s square lfg baby @youtubemusic 😤 https://t.co/R8TlywiTcd,2021-10-09 04:18:19+08:00,32,1095
💎💎💎 @youtubemusic 💎💎💎 https://t.co/BwZWrj9qQ1,2021-10-03 02:29:53+08:00,214,1734
❤️ @YouTube &amp; @youtubemusic “I Don’t Want to Talk” is on the Alternative Hotlist https://t.co/OrLfWapNct https://t.co/HjHDvHt7mv,2021-10-04 09:40:41+08:00,113,1495
"Thank you @youtubemusic 🏹💕
Thank you ONCE 🏹💕

📌Listen “The Feels” HERE👇✨
https://t.co/ganRyKAJEY

#TWICE #트와이스… https://t.co/TTMr09KLZh",2021-10-05 16:07:48+08:00,11760,51724
Enjoy listening to the beautiful track #ChanelNo5 from #HonslaRakh now on all your favourite streaming apps!… https://t.co/kwltK3Ucww,2021-10-05 16:02:24+08:00,702,1402
"LO SIENTO BB :/
@sanbenito @julietav 

@youtubemusic 

https://t.co/tX7YOabXa9",2021-10-05 11:34:56+08:00,346,2506
"🎼 ¡En este #RBDay y cualquier día también nos encuentras en @youtubemusic!
https://t.co/sM6UNX6DNJ 
#RBDay #RBD17… https://t.co/QGFueUKmiH",2021-10-05 07:00:03+08:00,129,914
Listen to “Blessed &amp; Free” with @kanebrown on @youtubemusic’s Pop Meets Country playlist! https://t.co/MFklMXqkLI https://t.co/OzgHo5Eiyu,2021-10-05 01:10:48+08:00,47,305
"+Lover Like Me+  Out Now on @youtubemusic 
https://t.co/mXMQBE8eG9 https://t.co/eOkLbQXncN",2021-10-04 23:39:10+08:00,896,4653
"Our exclusive music industry day as part of #DayOfTheGirl, is now available to watch on @AbbeyRoad  Studios YouTube… https://t.co/OXjKDwGU0X",2021-10-14 01:18:01+08:00,4,5
"[MESSAGE FROM THE CLERGY]

We wish to inform you Ghost is featured on the cover of Metal Hotlist. Thank You… https://t.co/6TaZNKRK9s",2021-10-06 06:17:22+08:00,157,1870
#TheHitList de @youtubemusic tiene lo nuevo de @Dannocean y @TiniStoessel sonando a todo volumen. ¿Ya escuchaste… https://t.co/KP7XBuyXNB,2021-10-07 02:41:40+08:00,83,265
Let’s go! Listen to #ComeBackAsACountryBoy on @youtubemusic now!!! https://t.co/4SZzXzzv4G https://t.co/UOg7UuyyZD,2021-10-06 22:23:31+08:00,94,661
CREEP IS AVAILABLE WORLD WIDE ON ALL DIGITAL MUSIC PLATFORMS 🌍🖤😍 @Spotify @Deezer @TIDAL @AppleMusic @amazonmusic… https://t.co/KPNtDWIvd1,2021-10-16 00:29:36+08:00,10,14
average australian featured on an above average billboard. @youtubemusic WHAT?! thank u for making my dreams come t… https://t.co/5A5RC25wmn,2021-10-16 03:41:37+08:00,5,57
. @tokischa_ y yo estamos en NEW YORK y en MIAMI!! @youtubemusic gracias gracias graciaaaaas ❤️🇻🇪🇩🇴… https://t.co/HK4G8gBMXs,2021-10-15 21:28:09+08:00,6,106
@bbnomula @youtubemusic U on newworld yet?,2021-10-09 09:55:38+08:00,244,3289
CINCO MILLONES!!!! CINCO MILLONES DE GRACIAS HERMANITOS!!! @YouTube @youtubemusic ¿Ustedes ya viernos… https://t.co/EvP67rn0op,2021-10-09 00:38:13+08:00,55,331
