friends_screen_name,created_at,friends_count,followers_count,tweet_count
morrayda1,2020-05-01 11:07:18+08:00,45,30679,403
sechmusic,2017-03-02 09:20:31+08:00,0,1443239,957
jhaycortez,2013-01-31 05:58:48+08:00,451,641842,15072
xlilhuddy,2015-07-13 07:54:00+08:00,490,2918102,3778
vancejoy,2012-06-07 20:01:52+08:00,392,156210,2915
TASHSULTANAA,2015-01-13 08:43:27+08:00,125,60196,6372
MoneyBaggYo,2011-01-16 03:54:02+08:00,10,2123741,37495
Polo_Capalot,2016-09-05 21:32:14+08:00,96,2616262,1867
rinasawayama,2013-01-30 19:34:14+08:00,457,274972,9823
pooh_shiesty,2015-06-11 12:41:31+08:00,585,315228,872
RagNBoneMan,2011-08-06 15:08:38+08:00,3612,96010,9603
Saweetie,2011-05-04 12:52:30+08:00,3,1925523,10001
temsbaby,2013-04-04 23:05:19+08:00,242,524372,5523
monlaferte,2010-02-28 10:15:30+08:00,16005,669050,68473
mimiwebb,2020-04-14 01:58:30+08:00,159,5180,562
lildurk,2009-08-11 08:41:36+08:00,485,5713679,60805
emiwaytweets,2011-08-17 21:55:44+08:00,13,33680,960
liltjay,2017-04-25 09:10:43+08:00,185,734840,1190
nyc_vaccine,2021-03-26 22:05:18+08:00,2,1168,31188
Napsvraicompte,2017-07-06 00:17:31+08:00,29,33429,597
lilkeshofficial,2010-08-16 00:50:20+08:00,1068,1225644,17364
davido,2010-09-20 23:55:08+08:00,994,9684781,52203
AJRBrothers,2010-01-15 23:57:23+08:00,15005,218731,13788
JacksonWang852,2018-08-25 08:42:37+08:00,67,4796235,867
whoisaddison,2015-08-04 08:14:01+08:00,999,4895164,5167
rodwave,2016-12-13 22:18:43+08:00,0,962015,982
wisin,2013-04-02 22:54:08+08:00,204,1169459,10732
beabad00bee,2018-10-08 20:03:19+08:00,59,102390,772
palomamamicl,2019-01-04 01:44:46+08:00,35,108676,787
VictoriaMonet,2009-03-09 03:41:38+08:00,3639,593482,22087
_FloMilli,2017-06-01 09:00:49+08:00,86,364219,1146
imbabytate,2014-01-13 03:31:38+08:00,1234,99253,78778
giveon,2017-03-03 18:05:00+08:00,7,321194,1031
KALIUCHIS,2012-06-04 10:40:39+08:00,102,933355,108
NowUnitedMusic,2016-11-22 10:20:44+08:00,312,769872,5407
SamHuntMusic,2011-02-21 12:06:02+08:00,261,599348,187
HERMusicx,2016-09-10 05:25:07+08:00,0,511427,19645
silksonic,2013-06-06 04:38:37+08:00,6,103080,139
KingsOfLeon,2010-01-05 04:43:46+08:00,23,576264,834
dominicfike,2019-06-05 01:28:30+08:00,1,54750,91
remiwolf,2014-01-16 16:46:39+08:00,206,17325,2366
finneas,2013-07-07 01:22:52+08:00,435,531924,4495
ashemusic,2011-03-15 05:28:53+08:00,814,670640,9933
asliyoyo,2012-08-20 23:35:31+08:00,133,5433213,3308
ElleKingMusic,2008-05-13 12:57:48+08:00,497,64552,8282
wolfalicemusic,2011-11-16 07:10:33+08:00,591,222866,4671
VicMensa,2009-03-03 02:28:36+08:00,34,493028,547
kamaiyah,2009-04-16 12:25:47+08:00,382,68552,45311
CHUNGHA_MNHent,2019-02-19 02:03:05+08:00,1,330902,1996
chungha_japan,2018-04-19 16:20:23+08:00,2,19633,925
kittycash,2009-03-04 11:22:27+08:00,1282,7918,22101
24kGoldn,2013-03-10 01:55:27+08:00,449,117172,3861
MustafaThePoet,2012-10-13 05:58:20+08:00,348,40104,4212
SamFischer,2011-11-01 05:02:15+08:00,433,15769,7118
Anuel_2bleA,2016-02-27 20:31:17+08:00,2,1834752,4779
RATMofficial,2020-09-03 06:32:18+08:00,0,47182,155
ThisIsRaissa,2010-11-17 17:34:29+08:00,132,2688,1532
sautisol,2009-10-30 05:20:04+08:00,92,1032093,55856
fatjoe,2009-03-17 10:22:57+08:00,925,907051,16444
loneamorphous,2009-11-15 06:22:45+08:00,2624,99759,74577
POPSMOKE10,2019-05-22 10:32:28+08:00,7,270793,200
asvpxrocky,2009-06-24 10:23:04+08:00,345,2781403,235
oliviarodrigo,2015-05-18 01:27:07+08:00,297,1543926,824
Jensen_McRae,2014-04-13 12:44:39+08:00,332,11257,6011
jeandawsn,2011-08-13 10:24:11+08:00,127,13519,15
KennyHoopla,2013-11-12 03:01:23+08:00,657,17736,12993
TKAYMAIDZA,2009-04-13 17:18:17+08:00,600,22818,3101
ShoMadjozi,2010-01-03 18:35:56+08:00,486,732100,40366
serpentwithfeet,2016-06-14 04:59:14+08:00,103,17108,1870
BRSKash,2009-07-14 03:34:51+08:00,694,3813,20600
jerome_farah,2012-08-23 19:30:28+08:00,28,189,93
jackharlow,2009-07-31 08:24:20+08:00,750,747125,2716
BANDA_MS,2010-02-23 08:45:31+08:00,2542,1336986,34117
KidCudi,2011-01-27 02:34:00+08:00,15,2734675,15046
sabrinaclaudio,2012-01-23 07:04:11+08:00,93,118804,5061
wizkidayo,2009-04-18 07:32:29+08:00,1436,8857984,53678
UncleSego,2010-07-23 06:00:35+08:00,368,229208,44279
BENEEMUSIC,2017-11-28 15:55:40+08:00,124,42082,679
ozuna,2016-02-03 12:31:24+08:00,1,1873952,2131
elnodal,2017-06-09 09:06:30+08:00,1,510717,668
karolg,2009-09-29 23:16:56+08:00,0,3941447,11159
nivassoc,2020-04-10 04:10:40+08:00,2394,10163,2532
Latto,2010-08-31 07:00:58+08:00,757,1504174,73714
AdamMelchor,2012-04-12 09:12:45+08:00,378,8092,12853
sadgirlsloan,2011-09-26 09:33:09+08:00,250,60702,612
RRReol,2012-09-28 01:51:16+08:00,130,405246,3009
foofighters,2009-01-17 03:26:30+08:00,14107,3124242,4422
SAINtJHN,2010-05-14 02:07:43+08:00,130,85843,5716
DojaCat,2012-05-02 05:14:18+08:00,0,3755579,1490
TreySongz,2009-03-18 06:10:47+08:00,3445,13807712,14659
joesefjoesef,2017-09-28 23:15:15+08:00,100,5989,1291
MYKETOWERS,2011-05-22 05:40:18+08:00,442,834443,19324
Beaubandnyc,2014-04-09 22:04:30+08:00,189,1122,857
BLACKPINK,2020-06-19 13:32:29+08:00,0,5169764,446
MetroBoomin,2009-07-29 07:08:40+08:00,2344,3731051,172393
LouisTheChild,2012-09-27 12:28:50+08:00,1860,95846,20369
rauwalejandro,2013-04-06 13:03:14+08:00,15,1422200,28913
dixiedamelio,2017-01-12 21:57:40+08:00,1893,4061093,3655
CamiloMusica,2010-02-03 06:23:32+08:00,495,1561367,15509
TierraWhack,2011-01-19 05:03:32+08:00,85,110420,80138
arashi5official,2019-08-29 17:49:08+08:00,12,2486133,906
Rico_nastyy,2015-10-05 01:54:35+08:00,34,746804,49020
AvaMax,2013-03-06 07:01:57+08:00,194,164116,1611
babykeem,2014-04-02 12:43:21+08:00,28,179171,988
alainacastillo5,2012-12-22 08:15:25+08:00,52,13959,5956
jamesblake,2010-10-22 16:47:22+08:00,60,341440,2827
chaelinCL,2014-09-25 07:30:48+08:00,153,1431974,1138
dcfc,2009-07-02 03:17:53+08:00,32,153383,2901
edsheeran,2009-10-27 07:57:28+08:00,0,17683864,22970
gashi,2010-05-19 12:48:02+08:00,1,53081,6822
chanmina1014,2013-01-30 22:06:11+08:00,168,267735,3067
lilbaby4PF,2017-01-04 06:33:39+08:00,4,5758841,1393
arcadefire,2008-12-27 06:36:01+08:00,76,961308,2243
YYYs,2009-02-24 03:12:39+08:00,8,191878,595
alinabaraz,2009-05-10 22:37:49+08:00,1727,163498,195
findingfletcher,2011-08-11 10:05:15+08:00,3572,137946,17352
sanbenito,2018-11-06 04:25:06+08:00,1,3492886,1201
ggm,2011-06-13 00:01:37+08:00,591,5510,4624
snohaalegra,2010-01-08 13:02:33+08:00,800,216351,4524
thisisLANY,2014-01-08 03:04:43+08:00,76,590778,1014
reiamimami,2011-08-08 15:15:04+08:00,108,9807,4592
6LACK,2009-03-28 08:05:02+08:00,1017,1039692,154690
MisterVonline,2009-03-18 21:18:33+08:00,487,5990673,12648
GooglePlayMusic,2015-06-03 23:50:48+08:00,328,223611,16343
ajmitchell,2015-07-11 08:39:30+08:00,5077,353979,4243
realpinksweats,2018-09-27 23:55:21+08:00,126,59065,791
whoisumi,2013-10-09 08:26:01+08:00,600,46509,2800
TheNational,2007-05-07 16:50:26+08:00,779,366807,3691
machinegunkelly,2008-12-04 13:25:52+08:00,1085,1622679,29324
yungblud,2013-08-23 19:37:06+08:00,518,622268,7202
tatemcrae,2014-01-16 01:25:47+08:00,1047,71379,2189
Google,2009-02-11 03:14:39+08:00,295,23881360,144994
audreynuna,2011-10-24 07:39:41+08:00,115,7742,522
pabllovittar,2010-08-03 20:11:38+08:00,11297,2570913,25343
Bmesrimes,2010-09-24 18:20:33+08:00,0,1632396,37686
0Riles,2011-08-15 16:49:19+08:00,265,152017,3151
OfficialAitch,2016-07-29 07:17:47+08:00,147,163829,1622
FreyaRidings,2011-04-18 01:15:34+08:00,969,17901,4470
mahalia,2011-08-11 01:03:28+08:00,889,84831,17473
michaelkiwanuka,2010-11-30 08:05:59+08:00,208,71908,2660
flohio16,2009-04-22 05:22:03+08:00,274,3364,12538
kojaque,2014-12-30 00:06:31+08:00,389,12177,6001
AceCollectionJP,2017-10-20 00:26:53+08:00,0,39135,937
Im__AnnMarie,2012-09-15 23:41:22+08:00,509,154431,66030
delrecords,2010-05-21 05:11:11+08:00,1387,186898,57678
omarapollo,2012-12-27 03:06:10+08:00,269,112503,2203
iylablue,2009-05-01 11:20:34+08:00,108,14050,13094
tonesandimusic,2019-02-13 13:21:36+08:00,67,25369,685
DaBabyDaBaby,2015-01-30 12:07:26+08:00,3,4361459,7228
halfaliveco,2012-10-30 13:05:25+08:00,20,37064,707
MauYRicky,2009-04-27 13:48:43+08:00,7286,789278,17254
1GunnaGunna,2016-10-19 23:11:02+08:00,37,2011349,5934
CigsAfterSexx,2015-10-22 11:51:11+08:00,101,341235,382
MelanieLBBH,2012-07-18 03:13:14+08:00,24,1279922,177
jessesaintjohn,2016-03-13 13:35:01+08:00,923,10134,3237
gracepotter,2009-04-09 07:50:56+08:00,289,112324,6826
summer_sonic,2010-02-25 14:34:47+08:00,9,193543,6159
darkskinmanson,2009-12-31 09:55:30+08:00,776,184629,4061
arloparks,2018-11-22 20:59:40+08:00,253,34692,2069
SSION,2009-03-25 02:00:28+08:00,766,9636,190
googleespanol,2009-05-07 20:55:16+08:00,272,168350,10523
googlemexico,2009-07-09 02:55:18+08:00,237,176101,10673
fujirock_jp,2010-02-25 20:37:41+08:00,159,214471,6838
QueenWillRock,2009-12-23 09:41:06+08:00,253,2125213,9695
amandashires,2009-01-09 08:08:13+08:00,1551,93858,13404
brandicarlile,2012-03-13 03:59:51+08:00,456,149243,3510
TheHighwomen,2018-11-18 08:50:17+08:00,19,49983,33
Alanis,2008-11-15 08:36:36+08:00,281,552479,2025
JuiceWorlddd,2015-09-25 10:58:30+08:00,472,1740760,16391
NBSslimmyb,2013-05-30 14:14:30+08:00,402,47301,2924
AndersonPaak,2009-12-19 04:02:21+08:00,2537,585451,6788
Nirvana,2009-08-24 21:53:37+08:00,69,984069,1078
GoldLink,2011-10-11 04:29:01+08:00,1,79973,317
jimmyeatworld,2008-06-04 00:29:21+08:00,138,2383280,6841
TheRealGrimmie,2010-08-01 03:00:18+08:00,3496,691411,15515
SOBxRBE,2017-04-01 01:50:22+08:00,438,50676,2396
MarkRonson,2009-06-01 05:43:03+08:00,803,559701,7168
Skepta,2009-03-11 09:31:36+08:00,615,1173596,34736
Mabel,2015-07-08 03:09:45+08:00,436,159887,3596
gracejones,2011-10-05 01:29:03+08:00,1069,64629,493
theestallion,2010-01-12 10:17:58+08:00,378,7016093,35133
backstreetboys,2008-02-25 13:21:19+08:00,61989,1041010,19801
LilNasX,2016-07-16 01:36:29+08:00,763,7390153,11424
LILBTHEBASEDGOD,2009-05-05 10:41:57+08:00,1397033,1250471,253102
LewisCapaldi,2011-09-09 03:36:14+08:00,301,1386589,36622
MichaelBrun,2010-01-08 00:07:26+08:00,669,66703,3279
thelumineers,2010-09-03 01:08:28+08:00,1659,470819,6672
YouTubeEspanol,2009-06-16 20:34:13+08:00,253,2373934,8510
alt_J,2011-05-20 17:36:51+08:00,607,459735,3118
ScHoolboyQ,2009-03-04 12:57:56+08:00,1803,2607013,22848
rosalia,2013-09-04 22:48:54+08:00,32,2810784,5707
TWFTonyWilliams,2010-02-24 04:15:19+08:00,927,16960,13330
