date,created_at,num_of_tweet,favourite_count,followers_count,friends_count,profile_img,location
2021-10-25,2017-06-29 03:14:08+08:00,6453,3846,806219,685,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-26,2017-06-29 03:14:08+08:00,6460,3855,806702,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-27,2017-06-29 03:14:08+08:00,6465,3865,807123,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-28,2017-06-29 03:14:08+08:00,6470,3869,807542,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-29,2017-06-29 03:14:08+08:00,6472,3874,808077,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-30,2017-06-29 03:14:08+08:00,6474,3880,808548,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-10-31,2017-06-29 03:14:08+08:00,6476,3880,808979,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-11-01,2017-06-29 03:14:08+08:00,6477,3880,809379,686,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-11-02,2017-06-29 03:14:08+08:00,6487,3889,809765,687,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-11-03,2017-06-29 03:14:08+08:00,6490,3891,810208,687,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-11-04,2017-06-29 03:14:08+08:00,6494,3892,810652,687,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
2021-11-05,2017-06-29 03:14:08+08:00,6498,3892,811171,688,https://pbs.twimg.com/profile_images/1428049246956097536/JEm1SO_s.jpg,
