tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"Don’t miss this.
@MsGladysKnight takes on @MsPattiPatti in a new #Verzuz battle Sunday at 5PM PT.

Listen to a new… https://t.co/xJLy5Z3mC3",2020-09-12 03:38:30+08:00,29,184,['Verzuz'],no_media,['MsGladysKnight'],True,False
"“This song for me just keeps taking on more and more meaning.”

@tenilletownes talks to @wardguenther about her cov… https://t.co/nsRb5ZRVPx",2020-09-12 03:13:10+08:00,16,127,[],no_media,['tenilletownes'],True,False
"RT @RollingStones: It’s All The Rage, let me out this cage… listen now on @AppleMusic &amp; follow the lyrics! From Goats Head Soup 2020 - a br…",2020-09-12 02:01:33+08:00,127,0,[],no_media,['RollingStones'],False,False
"Check out the deluxe edition of @elnodal’s #AYAYAY now. 🌵
https://t.co/fs9jupPeZA https://t.co/TdYvQTEAnA",2020-09-11 23:59:39+08:00,116,1963,['AYAYAY'],photo,['elnodal'],True,False
"Get to know #NatanaelCano.
Listen to his new project #SoyElNata and watch his #UpNext film now.… https://t.co/h7dsouchWJ",2020-09-11 09:23:31+08:00,14,138,['NatanaelCano'],no_media,[],True,False
"UK legend @DizzeeRascal connects with @rebecca_judd to share his favorite throwback tracks.

Listen here:… https://t.co/0WVW27VgAm",2020-09-11 08:52:17+08:00,12,92,[],no_media,['DizzeeRascal'],True,False
"Trace the many evolutions of rock and celebrate the thread that ties them all together: a love of guitar.

Listen t… https://t.co/awhBiPjaLU",2020-09-11 06:05:16+08:00,7,107,[],no_media,[],True,False
"#OKNotToBeOK
@marshmellomusic x @ddlovato.
Listen on #NewMusicDaily. https://t.co/OmvaaDaIoc https://t.co/2STIjwO7D3",2020-09-11 05:39:19+08:00,1050,4413,['OKNotToBeOK'],video,['marshmellomusic'],True,False
RT @HanumanWelch: Dig into the best new alt and indie tracks from around the world with me on #ALTCTRL Radio. Past episodes and the playlis…,2020-09-11 04:23:59+08:00,3,0,['ALTCTRL'],no_media,['HanumanWelch'],False,False
"New playlists from @tiktok_us are ready for you. 🤩 

Listen to #TikTokViral, featuring the platform’s top trending… https://t.co/H6qW2HVLXq",2020-09-11 03:34:56+08:00,24,248,['TikTokViral'],no_media,['tiktok_us'],True,False
".@ciara reinvents the way we listen to a sample on a new episode of #LevelUpRadio.

Lock in on Apple Music Hits:… https://t.co/tKuqhQvy9H",2020-09-11 02:03:35+08:00,50,243,['LevelUpRadio'],no_media,['ciara'],True,False
