tweet_text,created_at,retweet_count,favorite_count
#MIA &amp; #NYC 🤩 Dale Play! #PENDEJO @AppleMusic https://t.co/h68emWT3Hu https://t.co/adO2e0DMId,2021-09-22 04:00:00+08:00,170,808
Check out @Shazam's Artist of the Week playlist on @AppleMusic! #GRACIAS    https://t.co/qwBOkcaZR1 https://t.co/DjlOxWmqCz,2021-09-22 05:00:01+08:00,150,777
Today’s Discovered on @AppleMusic artist is Mercury (@onmercnem) with her track “CACTI” from her latest project MER… https://t.co/n0Xru72Z8A,2021-09-22 03:22:12+08:00,24,65
Don't miss #AtHomeWithAppleMusic! @applemusic  https://t.co/o23vvMiQMo https://t.co/Dxey39yzv5,2021-09-22 03:00:02+08:00,184,827
"it’s the day we’ve all been waiting for 🔥

joined by Mark and Johnny of @NCTsmtown_127 on @applemusic 1 at 4 PM PST… https://t.co/FBup7fWPAW",2021-09-22 02:12:45+08:00,7660,32380
"Listen to #LALISA on the @AppleMusic Chart Show with @BrookeReese
(6am PDT | 10pm KST)
 
🎧 https://t.co/IGP1bEy0p7… https://t.co/uLJsz5Ww6B",2021-09-23 14:54:57+08:00,16857,80710
Listen to “Love For Sale” on #TodaysEasyHits 🎶 @itstonybennett @AppleMusic https://t.co/4CYme1yowi https://t.co/iPEu93NF9Y,2021-09-23 06:14:46+08:00,1099,7190
"Listen to my latest single, 'After All' with @charlieputh  on #NewMusicDaily playlist on Apple Music 💚

Thanks for… https://t.co/ECSD3rbDAs",2021-09-23 22:36:31+08:00,125,846
"You saw her with the heat at the VMAs, now I’m playing back my convo with @Normani about “Wild Side” with… https://t.co/4eL21bVOVq",2021-09-24 04:11:49+08:00,89,405
Listen to my convo with @travismills now on @AppleMusic !! https://t.co/4oNOPpwpFM https://t.co/NGFPVNqOnn,2021-09-23 08:24:44+08:00,149,2118
"Today’s Discovered on @AppleMusic track is a collab between @shanvdp, @navz_47 and @Music_Santhosh called “Neeye Ol… https://t.co/7RlNvFsMFh",2021-09-24 03:43:49+08:00,27,210
¿Estás #EnfermoDeAmor 💕? ¡Tranqui! @SebastianYatra llegó con su más reciente tema #Tarde 🤍🌞⛪️ para acompañarte a pa… https://t.co/kdWcOJqMGt,2021-09-23 22:06:24+08:00,19,80
"If you're a fan of propane and propane accessories, head over to the link to pre-save/add ""Up Granville"" to your… https://t.co/6RaL60qzDv",2021-09-23 03:00:44+08:00,38,307
"Our new single 'Invisible Monster' is now available to stream on @AppleMusic 

Check it out here:… https://t.co/FuN4jMaDCC",2021-09-23 01:00:01+08:00,60,397
listen to “I Don’t Want to Talk” on #ALTCTRL now. thank you @AppleMusic for the cover and all the love… https://t.co/V7IWM0Qbhr,2021-10-02 09:27:36+08:00,88,1247
U can listen to my chat w @HanumanWelch for #ALTCTRL radio on @AppleMusic 🤍 https://t.co/fHuOGwro2v https://t.co/Wx3bcqqUPD,2021-10-02 05:57:44+08:00,78,1394
"No se pueden perder mi nueva canción #QuéGanasDeVerte en @AppleMusicES @AppleMusic , con mariachi para que cantemos… https://t.co/SKRotaI4og",2021-10-02 02:48:10+08:00,41,152
Stacked show today. we’ve got Chris Martin from @coldplay on the new song with @BTS_twt plus @coi_leray… https://t.co/LqI2AiVUsE,2021-09-24 23:14:46+08:00,5392,17991
See us in hindsight listening to #WildestDreamsTaylorsVersion in #SpatialAudio all night 🎶😎 @AppleMusic… https://t.co/tRQ0cuBGKJ,2021-09-25 06:45:53+08:00,894,7697
We recently spent time in the studio together for the first time since the start of lockdown and recorded an acoust… https://t.co/MAh5ZsETnZ,2021-09-25 00:52:31+08:00,93,649
Tune in today at 1pm LA // 4pm NY // 9pm LDN to hear @strombo celebrate 30 years of #Nevermind as an Essential Albu… https://t.co/JRGk1Zooud,2021-09-25 03:26:13+08:00,92,638
Mil Batallas en @AppleMusic!!! 🤗💃🏻 https://t.co/kMzE9ABKcR https://t.co/P9YvE3PlCg,2021-09-24 21:47:18+08:00,135,575
@alwayshinerugge @AppleMusic @christophervele @lumnayofficial @ErickBrianColon @zabdiel1344 ¡Este es sólo el comien… https://t.co/4rRtithYmb,2021-09-24 23:16:33+08:00,80,344
".@NattiNatasha is our Artist of the Week!!!

Stream her new album #NattiVidad and her most Shazamed songs on… https://t.co/X1Z1mMy0zW",2021-09-25 00:39:34+08:00,49,348
"@charlieputh and I sat down with @zanelowe on @AppleMusic to chat about our new single, ‘After All’ – you make it e… https://t.co/K8klAr9DHL",2021-09-24 21:26:43+08:00,60,265
"ITZY The 1st Album
&lt;CRAZY IN LOVE&gt; 

Released Online : 
💟 Apple https://t.co/DZzqiM2E0F
💟 iTunes… https://t.co/zzCb87KVqW",2021-09-24 13:01:10+08:00,3286,16111
"[ #AppleMusic ]
Check out ITZY on the cover of A-List: K-Pop @applemusic and stream “LOCO”

A-List: K-Pop
💟… https://t.co/AsNi7q9sZP",2021-09-24 13:37:28+08:00,2681,14646
Vaughan Williams’ ‘Tallis Fantasia’ is one of the most beautiful pieces. Here @SirSimonRattle conducts it on our ne… https://t.co/zjREfVsYbM,2021-09-24 20:58:51+08:00,41,168
"Out Now! 🇿🇦🇬🇭  #Sawasa by 
@dblackgh x @semi_tee x @Melobucks 
Watch / Stream / Download 

@YouTube ~&gt;… https://t.co/7oGhVBqBtH",2021-09-24 20:58:38+08:00,25,82
@Complex @RapCaviar @AppleMusic @amazonmusic @TIDAL @voguemagazine @GQ @Spotify @billboard goin live baby!,2021-09-24 11:05:25+08:00,19,230
"Enjoy favourite songs from Sarah with NEW ""Time-Synced Lyrics"" on @AppleMusic! Open the Apple Music app on your mob… https://t.co/lX1NWN6Z0W",2021-10-03 22:31:43+08:00,10,61
"Thank you, @thisiswatt, for your creativity and your friendship – it was a joy to have you involved in ‘Finish Line… https://t.co/0cdTBCXzLP",2021-10-02 23:30:43+08:00,43,662
"‘Really Wanna Dance With You’ on New Music Daily! Thank you so much @AppleMusic ❤️ 
Here’s a visual representation… https://t.co/77qXoE0uzK",2021-10-02 21:05:50+08:00,21,168
🐍 new in pop @AppleMusic is craving 🐍 https://t.co/qhk7QhOZla https://t.co/Sdej0SEZDU,2021-10-02 19:33:08+08:00,38,252
KOBE! THANK YOU @AppleMusic 🙌🏼 https://t.co/XDbQvz5gDu,2021-10-02 16:40:42+08:00,23,523
"Vocal sessions for the Apple Home Session cover of ""I'm With You"" originally by @AvrilLavigne. Listen to it now on … https://t.co/OJ8zidPOrF",2021-09-26 01:12:10+08:00,110,699
aNTid0tE @applemusic 🖤 https://t.co/JGkTTV8YJ2 https://t.co/as2GAMKJLJ,2021-09-25 21:07:54+08:00,108,1451
We got @Druski2Funny on @OTHERtone tomorrow 3pm PT on @AppleMusic: https://t.co/xQImSxvzQ1 https://t.co/gUigr0Ukjq,2021-09-26 00:09:26+08:00,58,371
"Just passed a new Milestone on @AppleMusic. Thanks for listening!
https://t.co/gmOTMZFQE1 https://t.co/wwkSofgnVR",2021-09-25 20:29:42+08:00,40,109
There is not enough room in a tweet to elaborate but our statistician @dsel1747 reports that our streaming numbers… https://t.co/jOte9Oddcz,2021-09-26 00:25:41+08:00,18,168
"Here's the ""Sabaton Essentials"" playlist on @AppleMusic for You!
👉🏻 https://t.co/3onVJ5aMm7 https://t.co/mLjKIwOv13",2021-09-25 17:00:44+08:00,30,304
"Discover Fazıl Say’s “Turkish Composers Series”
Türk bestecilerini keşfedelim.
6 Albüm 106 Eser.
@spotify… https://t.co/MTDJoAFxCI",2021-09-25 15:15:25+08:00,21,237
"Step into the sound of 'Barsaat’ by Armaan Malik with #DolbyAtmos on @AppleMusic.
Listen now,… https://t.co/w5EDUcgyxh",2021-09-25 13:30:00+08:00,176,803
TUNE IN AT 4PM PT FOR MY INTERVIEW WITH @travismills @AppleMusic https://t.co/xinj6dXObE,2021-09-29 03:06:34+08:00,53,619
"[📢] Hear our song #Deja_Vu on the @AppleMusic Chart Show with @BrookeReese 6am LA | 10pm KST
⠀
Check it out:… https://t.co/njdioJSsUf",2021-09-27 18:00:01+08:00,6452,33514
"[ #AppleMusic ]
Listen to “LOCO” in a whole new way, with sound all around you 🔊😮🔊 #SpatialAudio ft. #DolbyAtmos… https://t.co/LqTh5BXHML",2021-09-27 12:39:24+08:00,2118,14982
