tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
🔀 SHUFFLE WINS 🔀,2021-09-08 22:33:04+08:00,31,663,[],no_media,[],False,False
RT @SpotifyUSA: POV: You just discovered the Money Heist destination on Spotify 💃 https://t.co/BHU38qTexA #LCDP https://t.co/n4EdO05Ls2,2021-09-08 21:13:03+08:00,58,0,['LCDP'],animated_gif,['SpotifyUSA'],True,False
"RT @onepeloton: it’s time to turn up the volume! join us as we rock out to classic cuts from @Spotify's Metal Essentials playlist, which ce…",2021-09-08 07:39:14+08:00,61,0,[],no_media,['onepeloton'],False,False
@yaaboyy24 Having a listening strategy ✅,2021-09-07 22:57:48+08:00,0,23,[],no_media,['yaaboyy24'],False,False
@Helenaa1994 And if it's a playlist? 🤔,2021-09-07 22:55:56+08:00,0,24,[],no_media,['Helenaa1994'],False,False
@Yougotnojamzzz2 And that answer is... 👀,2021-09-07 22:52:14+08:00,0,1,[],no_media,['Yougotnojamzzz2'],False,False
@squeamishcake_ About 35% of people at this stage 👀,2021-09-07 22:44:56+08:00,0,10,[],no_media,['squeamishcake_'],False,False
@salmananjum27 There's still hope for in order 😅,2021-09-07 22:35:32+08:00,0,19,[],no_media,['salmananjum27'],False,False
Best way to listen to playlists? 👇,2021-09-07 22:27:02+08:00,67,1119,[],no_media,[],False,False
RT @spotifypodcasts: “Give this man a Pulitzer.” Drake’s #CertifiedLoverBoy is out and The @ringer Music Show gives us their reaction 🎙 htt…,2021-09-05 01:14:54+08:00,39,0,['CertifiedLoverBoy'],no_media,['spotifypodcasts'],False,False
"Step into the world of Shang-Chi with the Enhanced Album featuring @SimuLiu, @richbrian, @keshimusic, @audreynuna a… https://t.co/fIsPJqZ4rK",2021-09-04 22:52:00+08:00,322,2435,[],no_media,['SimuLiu'],True,False
Happy birthday to the queen @Beyonce! What track is on top of your 👑🐝 playlist?,2021-09-04 22:00:02+08:00,588,4922,[],no_media,['Beyonce'],False,False
Certified Record Breaker🤰 https://t.co/f6AjbA6Ung,2021-09-04 08:57:07+08:00,4373,21059,[],photo,[],False,False
"RT @SpotifyUSA: We're wrapping up the week with some of our favorite new releases 👇

Dive into @surfaces #Pacifico Deluxe 🌊 https://t.co/JO…",2021-09-04 04:35:58+08:00,14,0,['Pacifico'],no_media,['SpotifyUSA'],False,False
The fastest man in history just dropped his debut album. Get moving to @usainbolt's COUNTRY YUTES 👉… https://t.co/Jo37semnvO,2021-09-04 04:09:35+08:00,78,646,[],no_media,['usainbolt'],True,False
RT @RapCaviar: Favorite feature on CLB so far? 🦉 https://t.co/WMWD9ZpUkP,2021-09-04 02:49:46+08:00,75,0,[],photo,['RapCaviar'],False,False
@itsdrew12234 Big mood 💗,2021-09-04 01:15:33+08:00,1,2,[],no_media,[],False,False
".@jhaycortez? Yeah, he's #Timelezz 💫 https://t.co/dQzUAKfSvp https://t.co/yEJMtbnFaD",2021-09-04 00:43:58+08:00,80,1186,['Timelezz'],photo,['jhaycortez'],True,False
The #DawnofChromatica has risen ⚔️💚💗Ascend with @ladygaga now https://t.co/tgBg8XiRkP https://t.co/NAgDDiIPtZ,2021-09-04 00:34:12+08:00,3205,17338,['DawnofChromatica'],photo,['ladygaga'],True,False
.@Imaginedragons are taking us to new heights with #MercuryAct1 https://t.co/SobxkWVwtV https://t.co/fOP9YBn2wj,2021-09-04 00:06:30+08:00,34,371,['MercuryAct1'],photo,['Imaginedragons'],True,False
Romeo Must Die marked Aaliyah’s acting debut and she made her presence felt on the movie’s soundtrack. Now it’s fin… https://t.co/fjrf925mSm,2021-09-03 22:49:31+08:00,230,882,[],no_media,[],True,False
"Let’s go @Drake! Certified Lover Boy just dropped and for the first week, your fans around the world can listen on-… https://t.co/w17IwUgCkj",2021-09-03 13:16:03+08:00,2431,15306,[],no_media,['Drake'],True,False
.@NICKIMINAJ vocals on track 2? Yes please 😌 #CLB,2021-09-03 13:08:45+08:00,1430,10432,['CLB'],no_media,['NICKIMINAJ'],False,False
RT @RapCaviar: OFFICIAL CLB TRACKLIST 🤰 https://t.co/cCRw6gnLR4,2021-09-03 13:05:38+08:00,665,0,[],photo,['RapCaviar'],False,False
#CertifiedLoverBoy has arrived 💘 New @Drake is here to melt your heart https://t.co/wYh54b1hle https://t.co/wfr2nZT3nH,2021-09-03 13:03:01+08:00,325,1763,['CertifiedLoverBoy'],photo,['Drake'],True,False
"May we proudly present, The @Olivia_Rodrigo Bridge 🥺 https://t.co/MsR2U8s7lz",2021-09-03 03:53:40+08:00,1189,8688,[],photo,['Olivia_Rodrigo'],False,False
"New @ABBA just landed 🚀 You read that right, the supergroup just released new music for the first time in nearly 40… https://t.co/B6JNnFiQPh",2021-09-03 03:00:08+08:00,393,2110,[],no_media,['ABBA'],True,False
We’re starting the @Beyonce celebrations early with a #TBT birthday takeover 🤩 Join the party →… https://t.co/ihXmV8vYK0,2021-09-03 00:13:28+08:00,529,2594,['TBT'],no_media,['Beyonce'],True,False
We’re in for a certified treat this Friday 🍬 https://t.co/SSJfpIb17l,2021-09-02 23:00:18+08:00,509,3262,[],photo,[],False,False
@luuvietlinh109 @rascalflatts Ride it all night long 🚗,2021-09-02 22:34:12+08:00,0,1,[],no_media,['rascalflatts'],False,False
@BoyzIIMen ... and we've got The Ultimate Highway Playlist ready for your next road trip 🚗 https://t.co/AvpJaWZiTh,2021-09-02 21:55:04+08:00,14,222,[],no_media,['BoyzIIMen'],True,False
https://t.co/UiU8yLBwUq,2021-09-02 21:52:10+08:00,20,344,[],photo,[],False,False
https://t.co/wiWcjQ6Ppk,2021-09-02 21:51:33+08:00,11,168,[],photo,[],False,False
@Olivia_Rodrigo @eltonofficial @ladygaga @JohnDenverMusic https://t.co/MPClGy3zvA,2021-09-02 21:50:25+08:00,19,256,[],photo,['Olivia_Rodrigo'],False,False
@Olivia_Rodrigo @eltonofficial @ladygaga https://t.co/J2aBb7t0eN,2021-09-02 21:49:41+08:00,19,247,[],photo,['Olivia_Rodrigo'],False,False
@Olivia_Rodrigo @eltonofficial https://t.co/89yhUbn4aT,2021-09-02 21:49:06+08:00,143,558,[],photo,['Olivia_Rodrigo'],False,False
@Olivia_Rodrigo https://t.co/GnGsRLzcul,2021-09-02 21:48:33+08:00,14,229,[],photo,['Olivia_Rodrigo'],False,False
https://t.co/y6yr2PmFm2,2021-09-02 21:47:50+08:00,27,251,[],photo,[],False,False
Which road are you taking? 🚘 We’ve sponsored highways across the U.S. to help keep them safe and clean. Tag us if y… https://t.co/xZ7jIXr7jT,2021-09-02 21:47:10+08:00,31,655,[],no_media,[],True,False
