tweet_text,created_at,retweet_count,favorite_count
.@spotify has always been my constant source of entertainment. Never have I ever heard an #HindiAudioThriller befor… https://t.co/JDcZkBP3ZZ,2021-09-22 13:40:46+08:00,90,94
This #HindiAudioThriller is about the story of Peter and Gayatri. How Gayatri deals with the shocking revelations t… https://t.co/nIDkugqPJR,2021-09-22 14:19:20+08:00,129,150
"Playing with the themes of fantasy and sci-fi, this #HindiAudioThriller made me wonder how I would react if someone… https://t.co/Qe2QXuSigX",2021-09-22 13:59:05+08:00,99,102
Thank you to everyone who asked me to listen to this #HindiAudioThriller. Not a fan of podcasts but this story invo… https://t.co/kC9qUUe7C8,2021-09-22 12:40:07+08:00,100,103
I am amazed at this #HindiAudioThriller. What hits me is how with free-flowing assurance he modulates his voice and… https://t.co/UoNn3pJqF2,2021-09-22 13:03:05+08:00,161,166
"No se olviden de entrar a @Spotify y en la lupa, teclear AFondo con María Jimena Duzan. Oprime el cajon de suscribi… https://t.co/VcuDyrXXaP",2021-09-22 08:42:54+08:00,22,79
Lo nuevo y lo esencial ▶️ https://t.co/9RsRCWrSyc @Spotify https://t.co/bCXgXsYZco,2021-09-22 06:00:00+08:00,132,719
"1+ BILLION @Spotify streams for #SMILE is definitely something to 😀 about! Congrats, @katyperry ♥️ https://t.co/OZRTNG0k40",2021-09-22 05:49:48+08:00,484,3472
1 BILLION TOTAL @SPOTIFY STREAMS ON #SMILE TIME TO BRING OUT THE BIG BALLOONS ♥️♥️♥️ thanks KCs! https://t.co/5MRjFN3x5k,2021-09-22 04:46:56+08:00,7157,56858
"It’s October! 👻 To celebrate we made a playlist of our favorite Halloween songs on @Spotify. Check it out! 
https://t.co/Piy2OfSXiH",2021-10-02 06:40:47+08:00,92,429
SS.M.S.02: “LEAVING THIS WORLD BEHIND” IS FEATURED ON @Spotify’s NEW METAL TRACKS. STREAM HERE: https://t.co/EAYwlgcL6i,2021-10-01 05:00:09+08:00,43,280
"#ScorpioFlow 🦂🦂🦂
@Spotify @spotifyartists 
 https://t.co/NDNkXaxu61",2021-09-30 19:15:22+08:00,35,98
"This #InternationalPodcastDay, check out my daughter's podcast, ""Fearless with @CissieGLynch.” You can listen to he… https://t.co/NE8CZkjzwd",2021-10-01 03:56:08+08:00,28,165
"[ #Spotify ]

ITZY covers @Spotify New Music K-Pop playlist💫
Meet ""LOCO"" there and go for the streams!

💟 New Music… https://t.co/kaqt15C00M",2021-09-24 15:13:16+08:00,2684,16679
"[ #Spotify ]
Canvas for “LOCO” @Spotify

💟 Spotify ""LOCO""
https://t.co/wd4JROMELM

#ITZY #있지 @ITZYofficial
#MIDZY… https://t.co/m1s80yFAuv",2021-09-24 14:14:18+08:00,2325,13093
"'Breed - Live from Amsterdam 1991' streaming now on @Spotify. https://t.co/tkYgWjTylX

#Nevermind30 https://t.co/RjhcAlemvS",2021-09-25 05:13:43+08:00,338,2168
Listen to “Love For Sale” on #VocalJazz 🎷 @itstonybennett @Spotify https://t.co/vB1xgsAYUc https://t.co/ONKCumgWWg,2021-09-23 06:12:09+08:00,1263,10609
"SUNMI joins #SpotifyEQUAL Campaign!

@Spotify @SpotifyKR

#선미 #SUNMI
#You_cant_sit_with_us https://t.co/4YRKWGENEC",2021-09-23 18:57:15+08:00,1182,8088
"Ya pueden escuchar Tristeza en @Spotify 🥲
https://t.co/UezTZS4YRF",2021-09-23 21:25:49+08:00,36,163
"There are two sides to every story...  @amberborzotra is telling hers on The Death, Taxes, and Bananas Pod! Droppin… https://t.co/vTjPNpuVpq",2021-09-23 09:13:21+08:00,19,507
"I recorded an instrumental re-work of ""Say What You Will"" and covered Bill Withers’ “Hope She’ll Be Happier” for… https://t.co/cIjMy2n8b0",2021-09-23 08:12:05+08:00,20,157
.@ParkerMcCollum put his own take on a @GeorgeStrait classic to honor one of the most iconic decades of country mus… https://t.co/ymItxPBH6j,2021-09-23 03:45:04+08:00,27,205
"If you're a fan of propane and propane accessories, head over to the link to pre-save/add ""Up Granville"" to your… https://t.co/6RaL60qzDv",2021-09-23 03:00:44+08:00,38,307
"#Barsaat out now on @Spotify 🌧

@AmaalMallik @KunaalVermaa77 
@TheMWMOfficial @DabooMalik 

https://t.co/m6yGpzK8BN",2021-09-23 02:44:00+08:00,362,1273
"Thanks for adding me to this killer playlist @Spotify #eleveneleven #newmusic #singledout

https://t.co/8tKwLlNXXH https://t.co/uwNFfw4IWJ",2021-09-23 01:15:32+08:00,398,4796
I’m giving my biggest fans on @Spotify the chance to get pre-sale tickets for my Europe 2022 tour! Check your email… https://t.co/XxSPkqHyu0,2021-09-23 01:00:02+08:00,54,363
LOVED covering ‘Remember’ by @BeckyHill and @davidguetta … Hope we did it justice!! On @Spotify now 🖤 https://t.co/pwunIbtmI9,2021-09-23 00:56:03+08:00,178,1083
