0,1,2,3,4,5,6,7,8,9
stream,album,million,day,time,win,thousand,debut,us,month
new,listen,music,featur,live,check,cover,billboard,episod,#sg
playlist,thank,get,celebr,first,back,much,parti,singl,squar
follow,top,releas,today,golden,arrow,leav,year,week,good
de,la,en,por,mi,tema,gracia,su,da,portada
song,love,im,halloween,one,take,season,exclus,songwrit,talk
podcast,spoke,canva,histori,fantast,within,abus,uncov,experi,#mv
na,keep,big,kulay,ng,mga,cool,play,st,faixa
